text,intent,lang
find coffee between $4 and $12,SEARCH_FILTER,en
find me flour,SEARCH_ITEM,en
throw olive oil on the list,ADD,en
"we already have olive oil, remove it",REMOVE,en
tamatar delete karo,REMOVE,hi
take sugar off the list,REMOVE,en
sugar under $2,SEARCH_FILTER,en
yogurt under $3,SEARCH_FILTER,en
find cheap bread under $15,SEARCH_FILTER,en
look for organic cheese in small,SEARCH_ITEM,en
remember to get butter,ADD,en
quita azucar de mi lista,REMOVE,es
no olvides el pollo,ADD,es
delete yogurt,REMOVE,en
tamatar hatao,REMOVE,hi
potatoes under $3,SEARCH_FILTER,en
mujhe ab paneer nahi chahiye,REMOVE,hi
encuentra 365 pasta por menos de $15,SEARCH_FILTER,es
muestrame aceite de oliva,SEARCH_ITEM,es
chicken $2 se kam mein dhundo,SEARCH_FILTER,hi
add tomatoes to my list,ADD,en
bananas under $4,SEARCH_FILTER,en
chawal le aana,ADD,hi
great value makhan dhundo,SEARCH_ITEM,hi
necesito comprar tomates,ADD,es
search cheese between $5 and $8,SEARCH_FILTER,en
find flour,SEARCH_ITEM,en
look for organic shampoo in small,SEARCH_ITEM,en
busca champu por menos de $10,SEARCH_FILTER,es
delete rice,REMOVE,en
find great value coffee,SEARCH_ITEM,en
trader joe's coffee dhundo,SEARCH_ITEM,hi
search for olive oil,SEARCH_ITEM,en
"we already have chicken, remove it",REMOVE,en
palak $15 ke andar,SEARCH_FILTER,hi
search flour between $10 and $18,SEARCH_FILTER,en
quiero 2 huevos,ADD,es
muestrame cebollas por menos de $10,SEARCH_FILTER,es
where can i find pasta,SEARCH_ITEM,en
muestrame espinacas por menos de $3,SEARCH_FILTER,es
add sugar to my list,ADD,en
paneer add karo,ADD,hi
put olive oil on the list,ADD,en
pon huevos en la lista,ADD,es
2 bottles of seb chahiye,ADD,hi
necesito comprar pan,ADD,es
paneer large mein dhundo,SEARCH_ITEM,hi
i need to buy detergent,ADD,en
pan por menos de $3,SEARCH_FILTER,es
tamatar $10 se kam mein dhundo,SEARCH_FILTER,hi
chawal add karo,ADD,hi
santre ka juice search karo,SEARCH_ITEM,hi
i don't need cheese anymore,REMOVE,en
quiero 2 pollo,ADD,es
busca trader joe's mantequilla,SEARCH_ITEM,es
detergent cancel karo,REMOVE,hi
no olvides el platanos,ADD,es
scratch tomatoes off the list,REMOVE,en
search for organic coffee,SEARCH_ITEM,en
chawal hatao,REMOVE,hi
add 2 bottles of coffee,ADD,en
cancel onions,REMOVE,en
seb search karo,SEARCH_ITEM,hi
quiero comprar espinacas,ADD,es
don't forget shampoo,ADD,en
compra 3 cans of espinacas,ADD,es
remove spinach from my list,REMOVE,en
agrega pollo a mi lista,ADD,es
elimina espinacas,REMOVE,es
olive oil $15 aur $23 ke beech dhundo,SEARCH_FILTER,hi
encuentra organic agua por menos de $3,SEARCH_FILTER,es
list mein ande daalo,ADD,hi
muestrame aceite de oliva por menos de $4,SEARCH_FILTER,es
paneer delete karo,REMOVE,hi
encuentra trader joe's champu por menos de $4,SEARCH_FILTER,es
mujhe makhan dikhao,SEARCH_ITEM,hi
take cereal off the list,REMOVE,en
buy 5 cereal,ADD,en
busca tomates entre $10 y $18,SEARCH_FILTER,es
